行ID	話者	文	音声記号列	読み	出どころ
c606-1		リノの事務所の返事は、試験の飛行は3時間、離着陸は3回。	り'のの/じむ'しょの/へんじ'わ、しけ'んの/ひこーわ/さんじ'かん、りちゃ'くりくわ/さんか'い。	りののじむしょのへんじわ、しけんのひこーわさんじかん、りちゃくりくわさんかい。	auto
c607-1		改造を終えて初めて飛んだのは、2009年9月21日。	かいぞーを/おえて/はじ'めて/とんだ'のわ、にせんきゅ'ーねん/く'がつ/にじゅーいち'にち。	かいぞーをおえてはじめてとんだのわ、にせんきゅーねんくがつにじゅーいちにち。	auto
c607-2		整備の仲間の話では、その日と翌日に数回飛び、1回あたり15分から20分。	せ'ーびの/なかま'の/はなし'でわ、その'ひと/よくじつに/す'ーかい/とび、いっかいあ'たり/じゅーご'ふんから/にじゅ'っぷん。	せーびのなかまのはなしでわ、そのひとよくじつにすーかいとび、いっかいあたりじゅーごふんからにじゅっぷん。	auto
c608-1	q	記録は、どれくらい？	きろくわ、ど'れくらい？	きろくわ、どれくらい？	auto
c608-2		テレメトリーの記録は、2日で合わせて約23分。	てれめ'とりーの/きろくわ、ふつかで/あわ'せて/や'く/にじゅーさ'んぷん。	てれめとりーのきろくわ、ふつかであわせてやくにじゅーさんぷん。	auto
c608-3		ただ、欠けていた。飛び立った5回のうち、記録は2回ぶん。	た'だ、か'けていた。とびた'った/ごか'いのうち、きろくわ/にか'い/ぶ'ん。	ただ、かけていた。とびたったごかいのうち、きろくわにかいぶん。	auto
c609-1		5回とも20分飛んだとしても、1時間40分。	ごか'いとも/にじゅ'っぷん/とんだ'としても、いちじ'かん/よんじゅ'っぷん。	ごかいともにじゅっぷんとんだとしても、いちじかんよんじゅっぷん。	auto
c609-2		報告書は、3時間を飛んだ証拠は無いとする。	ほーこくしょわ、さんじ'かんを/とんだ'/しょーこわ/な'いとする。	ほーこくしょわ、さんじかんをとんだしょーこわないとする。	auto
c609-3	q	つまり、時間が足りなかったかも？	つ'まり、じかんが/たりな'かったかも？	つまり、じかんがたりなかったかも？	auto
c610-1		そう。2009年9月22日。機体の記録簿に、パイロット本人の署名で、こうある。	そー。にせんきゅ'ーねん/く'がつ/にじゅーに'にち。きたいの/きろく'ぼに、ぱいろっとほ'んにんの/しょめーで、こー/あ'る。	そー。にせんきゅーねんくがつにじゅーににち。きたいのきろくぼに、ぱいろっとほんにんのしょめーで、こーある。	auto
c610-2		記録簿「規定の試験飛行時間を終えた」	きろく'ぼ/きてーの/しけんひこーじ'かんを/おえた'。	きろくぼきてーのしけんひこーじかんをおえた。	auto
c611-1		続けて、「ふだんのどの速さでも、すべての動きで操縦できる。	つずけて、ふ'だんの/ど'の/はや'さでも、す'べての/うごき'で/そーじゅー/でき'る。	つずけて、ふだんのどのはやさでも、すべてのうごきでそーじゅーできる。	auto
c611-2		危ない特性は無く、安全に運用できる」。	あぶない/とくせーわ/な'く、あんぜんに/うんよー/でき'る。	あぶないとくせーわなく、あんぜんにうんよーできる。	auto
c612-1	q	つまり、書類の上では終わっていた？	つ'まり、しょるいのうえ'でわ/おわっていた'？	つまり、しょるいのうえでわおわっていた？	auto
c612-2		そう。記録簿では、「終えた」ことになっていた。	そー。きろく'ぼでわ、おえた'ことに/な'っていた。	そー。きろくぼでわ、おえたことになっていた。	auto
c613-1		実験機は、使う速さと動きの全部で安全と示すまで、決められた空域から出られない。	じっけ'んきわ、つかう/はや'さと/うごき'の/ぜ'んぶで/あんぜんと/しめ'すまで、きめら'れた/くーいきから'/でられ'ない。	じっけんきわ、つかうはやさとうごきのぜんぶであんぜんとしめすまで、きめられたくーいきからでられない。	auto
c613-2		レースの速さとGまで確かめた飛行試験を、事故機はしていなかった。	れ'ーすの/はや'さと/じ'ー/ま'で/たしか'めた/ひこーしけ'んを、じこ'きわ/していな'かった。	れーすのはやさとじーまでたしかめたひこーしけんを、じこきわしていなかった。	auto
c614-1		空気の取り入れ口も、おもりも、右の板の固定も、届けた記録は無い。	く'ーきの/とりいれぐちも、おもりも、みぎの/い'たの/こてーも、とど'けた/きろくわ/な'い。	くーきのとりいれぐちも、おもりも、みぎのいたのこてーも、とどけたきろくわない。	auto
c614-2		報告書は、届けていれば、FAAはおそらく、もっと重い試験を求めたとする。	ほーこくしょわ、とど'けていれば、えふえーえ'ーわ/おそ'らく、も'っと/おもい/しけ'んを/もと'めたとする。	ほーこくしょわ、とどけていれば、えふえーえーわおそらく、もっとおもいしけんをもとめたとする。	auto
c615-1		それでも2010年、事故機はリノに出た。有効な予選の記録は無かった。	それで'も/にせんじゅ'ーねん、じこ'きわ/り'のに/で'た。ゆーこーな/よせんの/きろくわ/な'かった。	それでもにせんじゅーねん、じこきわりのにでた。ゆーこーなよせんのきろくわなかった。	auto
c615-2		「レースの速さで飛べると示した」機を主催の団体が加えられる決まりを使った。	れ'ーすの/はや'さで/とべる'と/しめ'した/き'を/しゅさいの/だんたいが/くわえられ'る/きまりを/つかった'。	れーすのはやさでとべるとしめしたきをしゅさいのだんたいがくわえられるきまりをつかった。	auto
c616-1		その年、レースの平均の速さは、最も速くても時速約602キロ（325ノット）未満。	その/とし'、れ'ーすの/へーきんの/はや'さわ、もっと'も/はや'くても/じそく/や'く/ろっぴゃくに'きろ、さんびゃくにじゅーごのっとみ'まん。	そのとし、れーすのへーきんのはやさわ、もっともはやくてもじそくやくろっぴゃくにきろ、さんびゃくにじゅーごのっとみまん。	auto
c616-2		いちばん下の組から勝ち上がったが、ゴールドは風で中止になった。	いちばんしたの/くみ'から/かち'/あがった'が、ご'ーるどわ/かぜで/ちゅーしに/な'った。	いちばんしたのくみからかちあがったが、ごーるどわかぜでちゅーしになった。	auto
c617-1	q	主催の団体に出す書類は？	しゅさいの/だんたいに/だ'す/しょるいわ？	しゅさいのだんたいにだすしょるいわ？	auto
c617-2		参加の書類には、「前に出たあと、大きな改造をしたか」という問いがある。	さんかの/しょるいに'わ、ま'えに/でた'あと、お'ーきな/かいぞーをした'かと/いう/といが/あ'る。	さんかのしょるいにわ、まえにでたあと、おーきなかいぞーをしたかというといがある。	auto
c617-3		2009年の書類では、「はい」に丸が付いていた。	にせんきゅ'ーねんの/しょるいで'わ、は'い/に/まるが/つ'いていた。	にせんきゅーねんのしょるいでわ、はいにまるがついていた。	auto
c618-1		その年は改造が間に合わず、参加を取り消した。	その/とし'わ/かいぞーが/まにあ'わず、さんかを/とりけした'。	そのとしわかいぞーがまにあわず、さんかをとりけした。	auto
c618-2		そして2010年と2011年の書類では、同じ問いに「いいえ」。	そして/にせんじゅ'ーねんと/にせんじゅーいち'ねんの/しょるいで'わ、おなじ/といに/いーえ'。	そしてにせんじゅーねんとにせんじゅーいちねんのしょるいでわ、おなじといにいーえ。	auto
c618-3	q	どうして「いいえ」？	ど'ーして/いーえ'？	どーしていーえ？	auto
c619-1		2010年は、前の年に「はい」で出したからかもしれない、と報告書はみる。	にせんじゅ'ーねんわ、ま'えの/とし'に/は'いで/だ'したからかも/しれな'い、と/ほーこくしょわ/み'る。	にせんじゅーねんわ、まえのとしにはいでだしたからかもしれない、とほーこくしょわみる。	override
c619-2		でも、その年は走っていない。だから2010年も「はい」とすべきだった、とする。	で'も、その/とし'わ/はし'っていない。だ'から/にせんじゅ'ーねんも/は'い/とすべ'きだった、とする。	でも、そのとしわはしっていない。だからにせんじゅーねんもはいとすべきだった、とする。	auto
c619-3		2010年と11年は、本来資格が無かった	にせんじゅ'ーねんと/じゅーいち'ねんわ、ほ'んらい/しかくが/な'かった。	にせんじゅーねんとじゅーいちねんわ、ほんらいしかくがなかった。	auto
c620-1		パイロットの参加の書類には、事実と合わない数字もあった。	ぱ'いろっとの/さんかの/しょるいに'わ、じ'じつと/あわ'ない/すーじも/あ'った。	ぱいろっとのさんかのしょるいにわ、じじつとあわないすーじもあった。	auto
c620-2		2011年は、この機体で飛んだ時間が「約2,700時間」。	にせんじゅーいち'ねんわ、この/きたいで/とんだ'/じかんが/や'くにせんななひゃくじかん。	にせんじゅーいちねんわ、このきたいでとんだじかんがやくにせんななひゃくじかん。	auto
c620-3		でも、機体が生まれてから飛んだ時間は、全部で約1,453時間だった。	で'も、きたいが/うまれて'から/とんだ'/じかんわ、ぜ'んぶで/や'くせんよんひゃくごじゅーさんじかんだった。	でも、きたいがうまれてからとんだじかんわ、ぜんぶでやくせんよんひゃくごじゅーさんじかんだった。	auto
c621-1		年齢の欄は、2009年と2010年の書類で「59」。	ねんれーの/ら'んわ、にせんきゅ'ーねんと/にせんじゅ'ーねんの/しょるいで/ごじゅーきゅ'ー。	ねんれーのらんわ、にせんきゅーねんとにせんじゅーねんのしょるいでごじゅーきゅー。	auto
c621-2		2011年は、正しく書かれていた。	にせんじゅーいち'ねんわ、ただ'しく/かかれていた'。	にせんじゅーいちねんわ、ただしくかかれていた。	auto
c622-1		2011年の書類には、この機体で前の年から約200時間飛んだとある。	にせんじゅーいち'ねんの/しょるいに'わ、この/きたいで/ま'えの/とし'から/や'く/にひゃくじ'かん/とんだ'と/あ'る。	にせんじゅーいちねんのしょるいにわ、このきたいでまえのとしからやくにひゃくじかんとんだとある。	auto
c622-2		記録簿では、2009年の組み立てから2011年7月まで、約25時間だった。	きろく'ぼでわ、にせんきゅ'ーねんの/くみたてから'/にせんじゅーいち'ねん/しちがつ'まで、や'く/にじゅーごじ'かんだった。	きろくぼでわ、にせんきゅーねんのくみたてからにせんじゅーいちねんしちがつまで、やくにじゅーごじかんだった。	auto
c622-3	q	ずいぶん、違うんだ。	ず'いぶん、ちがう'んだ。	ずいぶん、ちがうんだ。	auto
c623-1		報告書は、年齢や経験が事故に関わった証拠は無い、としたうえで書く。	ほーこくしょわ、ねんれーや/けーけんが/じ'こに/かかわ'った/しょーこわ/な'い、とした'うえで/か'く。	ほーこくしょわ、ねんれーやけーけんがじこにかかわったしょーこわない、としたうえでかく。	auto
c623-2		なぜ不正確な情報を出したのかは、不明	な'ぜ/ふせ'ーかくな/じょーほーを/だ'したのかわ、ふめー。	なぜふせーかくなじょーほーをだしたのかわ、ふめー。	auto
c624-1		報告書の言葉は「不正確」。	ほーこくしょの/ことば'わ/ふせ'ーかく。	ほーこくしょのことばわふせーかく。	auto
c624-2		書類の話はここまで。次は、事故の4日前の技術検査だ。	しょるいの/はなし'わ/ここま'で。つぎ'わ、じ'この/よっかま'えの/ぎじゅつけ'んさだ。	しょるいのはなしわここまで。つぎわ、じこのよっかまえのぎじゅつけんさだ。	auto
c701-1		事故の4日前、2011年9月12日。	じ'この/よっかま'え、にせんじゅーいち'ねん/く'がつ/じゅーに'にち。	じこのよっかまえ、にせんじゅーいちねんくがつじゅーににち。	auto
c701-2		レースの前に、機体は、無制限クラスの団体の技術検査を受ける。	れ'ーすの/ま'えに、きたいわ、むせーげんく'らすの/だんたいの/ぎじゅつけ'んさを/うけ'る。	れーすのまえに、きたいわ、むせーげんくらすのだんたいのぎじゅつけんさをうける。	auto
c702-1	q	何か、見つかったの？	な'にか、みつかった'の？	なにか、みつかったの？	auto
c702-2		検査の用紙の「備考」の欄に、こう書かれていた。	け'んさの/よーしの/びこーの/ら'んに、こー/かかれていた'。	けんさのよーしのびこーのらんに、こーかかれていた。	auto
c702-3		技術検査「トリムタブのねじが短すぎる」	ぎじゅつけんさとりむ'たぶの/ね'じが/み'じか/すぎ'る。	ぎじゅつけんさとりむたぶのねじがみじかすぎる。	auto
c703-1		トリムタブは、あの尾翼の板だ。	とりむ'たぶわ、あの/びよくの/い'ただ。	とりむたぶわ、あのびよくのいただ。	auto
c703-2		検査員と整備の仲間の話では、右の板のねじの先が、ナットから十分に出ていなかった。	けんさ'いんと/せ'ーびの/なかま'の/はなし'でわ、みぎの/い'たの/ね'じの/さきが、な'っとから/じゅーぶ'んに/で'ていなかった。	けんさいんとせーびのなかまのはなしでわ、みぎのいたのねじのさきが、なっとからじゅーぶんにでていなかった。	auto
c703-3		整備の仲間は、斜めに入っていたねじを、正しく入れ直したと話している。	せ'ーびの/なかま'わ、なな'めに/は'いっていた/ね'じを、ただ'しく/いれなお'したと/はな'している。	せーびのなかまわ、ななめにはいっていたねじを、ただしくいれなおしたとはなしている。	auto
c704-1		直ったと伝えられ、検査は9月12日付で合格。コースを飛んでよいとされた。	なお'ったと/つたえら'れ、け'んさわ/く'がつ/じゅーににちずけで/ごーかく。こ'ーすを/とんでよいとされた'。	なおったとつたえられ、けんさわくがつじゅーににちずけでごーかく。こーすをとんでよいとされた。	auto
c704-2		直したことを、書面で確かめる手順は無かった。	なお'したことを、しょめんで/たしかめ'る/てじゅんわ/な'かった。	なおしたことを、しょめんでたしかめるてじゅんわなかった。	auto
c705-1		検査の決まりには、こうある。合格は、機体が飛ぶのに安全かを示すものではない。	け'んさの/きまりに'わ、こー/あ'る。ごーかくわ、きたいが/とぶ'のに/あんぜんかを/しめ'すものでわない。	けんさのきまりにわ、こーある。ごーかくわ、きたいがとぶのにあんぜんかをしめすものでわない。	auto
c705-2		事故のあと、右の板のナットの1つに、前に斜めに入ったとみられる傷が見つかった。	じこの'あと、みぎの/い'たの/な'っとの/ひと'つに、ま'えに/なな'めに/は'いったと/みられ'る/きずが/みつかった'。	じこのあと、みぎのいたのなっとのひとつに、まえにななめにはいったとみられるきずがみつかった。	auto
c706-1		事故のあと、左右の板が調べられた。	じこの'あと、さ'ゆーの/い'たが/しらべら'れた。	じこのあと、さゆーのいたがしらべられた。	auto
c706-2		板はそれぞれ、3か所のちょうつがいに、ねじ1本ずつで留まっていた。	い'たわ/それ'ぞれ、さんか'しょの/ちょーつ'がいに、ね'じ/いっぽんず'つで/とまっていた。	いたわそれぞれ、さんかしょのちょーつがいに、ねじいっぽんずつでとまっていた。	auto
c707-1	q	ねじは、どうなっていたの？	ね'じわ、ど'ー/な'っていたの？	ねじわ、どーなっていたの？	auto
c707-2		折れずに残ったねじは、全部ゆるんでいた。	おれ'ずに/のこ'った/ね'じわ、ぜ'んぶ/ゆる'んでいた。	おれずにのこったねじわ、ぜんぶゆるんでいた。	auto
c707-3		ナットは、ほとんど押さえていなかった。	な'っとわ、ほと'んど/おさ'えていなかった。	なっとわ、ほとんどおさえていなかった。	auto
c708-1		ゆるみ止めのナットは、内側の繊維の詰め物で、ねじを締めつける。	ゆるみどめの/な'っとわ、うちがわの/せ'んいの/つめ'もので、ね'じを/しめつけ'る。	ゆるみどめのなっとわ、うちがわのせんいのつめもので、ねじをしめつける。	auto
c708-2		事故機のナットの詰め物には、「年月と使い回しの跡」があった。	じこ'きの/な'っとの/つめ'ものにわ、ね'んげつと/つかいま'わしの/あ'とが/あ'った。	じこきのなっとのつめものにわ、ねんげつとつかいまわしのあとがあった。	auto
c709-1		整備の指針では、締めつける力が足りなくなったナットは、使い回さない。	せ'ーびの/ししんで'わ、しめつけ'る/ちから'が/たりな'く/な'った/な'っとわ、つかいまわさ'ない。	せーびのししんでわ、しめつけるちからがたりなくなったなっとわ、つかいまわさない。	auto
c709-2		板とちょうつがいの合わせ目は、塗装がはげていた。こすれ合った跡とみられる。	い'たと/ちょーつ'がいの/あわせめわ、とそーが/は'げていた。こすれあ'った/あ'とと/みられ'る。	いたとちょーつがいのあわせめわ、とそーがはげていた。こすれあったあととみられる。	auto
c710-1	q	古さは、どうして分かったの？	ふる'さわ、ど'ーして/わか'ったの？	ふるさわ、どーしてわかったの？	auto
c710-2		ナットの上塗りの下に、黄色の塗装があった。	な'っとの/うわぬりの/したに、きいろの/とそーが/あ'った。	なっとのうわぬりのしたに、きいろのとそーがあった。	auto
c710-3		記録では、この機体の板は、1985年のレースより前に黄色に塗られていた。	きろくで'わ、この/きたいの/い'たわ、せんきゅーひゃくはちじゅーご'ねんの/れ'ーすより/ま'えに/きいろに/ぬられていた'。	きろくでわ、このきたいのいたわ、せんきゅーひゃくはちじゅーごねんのれーすよりまえにきいろにぬられていた。	auto
c711-1		ねじとナットを最後に替えた記録は無い。報告書は、こう書く。	ね'じと/な'っとを/さ'いごに/かえた'/きろくわ/な'い。ほーこくしょわ、こー/か'く。	ねじとなっとをさいごにかえたきろくわない。ほーこくしょわ、こーかく。	auto
c711-2		ナットは26年以上付いていた可能性が高い	な'っとわ/にじゅーろく'ねん/い'じょー/つ'いていた/かのーせーが/たか'い。	なっとわにじゅーろくねんいじょーついていたかのーせーがたかい。	auto
c712-1		左の板の真ん中のねじは、決まりよりかなり短かった。	ひだりの/い'たの/まんなかの/ね'じわ、きまりよ'り/か'なり/みじか'かった。	ひだりのいたのまんなかのねじわ、きまりよりかなりみじかかった。	auto
c712-2		ねじの先は、ナットの端とそろうところまでしか届いていなかった。	ね'じの/さきわ、な'っとの/はしと/そろ'うところまでしか/とど'いていなかった。	ねじのさきわ、なっとのはしとそろうところまでしかとどいていなかった。	auto
c713-1	q	短すぎたんだ…。	み'じか/す'ぎたんだ。	みじかすぎたんだ。	auto
c713-2		そして左の板の内側のねじは、ナットの面で折れていた。	そして/ひだりの/い'たの/うちがわの/ね'じわ、な'っとの/めんで/お'れていた。	そしてひだりのいたのうちがわのねじわ、なっとのめんでおれていた。	auto
c713-3		折れ口には、くり返し曲げられてできた、ひびの跡。	おれ'くちにわ、くりかえしまげら'れてできた、ひび'の/あ'と。	おれくちにわ、くりかえしまげられてできた、ひびのあと。	auto
c714-1		小さな力を何度もかけるうちに、金属にひびが育つ。これが「金属疲労」だ。	ち'ーさな/ちから'を/な'んども/かけ'るうちに、き'んぞくに/ひび'が/そだ'つ。これが/きんぞくひ'ろーだ。	ちーさなちからをなんどもかけるうちに、きんぞくにひびがそだつ。これがきんぞくひろーだ。	auto
c714-2		ひびの面のさびから、ひびは長い時間をかけて育ったとみられる。	ひび'の/めんの/さび'から、ひび'わ/なが'い/じかんを/か'けて/そだ'ったと/みられ'る。	ひびのめんのさびから、ひびわながいじかんをかけてそだったとみられる。	auto
c715-1	q	ねじがゆるむと、何が起きるの？	ね'じが/ゆる'むと、な'にが/おき'るの？	ねじがゆるむと、なにがおきるの？	auto
c715-2		板の取り付けがぐらつき、支えのかたさが落ちる。	い'たの/とりつけが/ぐらつき、ささえ'の/かた'さが/おち'る。	いたのとりつけがぐらつき、ささえのかたさがおちる。	auto
c715-3		そこで起きうるのが、板の震え、「フラッター」だ。	そこで/おきう'るのが、い'たの/ふるえ、ふら'ったーだ。	そこでおきうるのが、いたのふるえ、ふらったーだ。	auto
c716-1		フラッターは、機体の揺れと空気の力がかみ合って、速く震え続ける現象。	ふら'ったーわ、きたいの/ゆれと/く'ーきの/ちから'が/かみあ'って、はや'く/ふるえつずける/げんしょー。	ふらったーわ、きたいのゆれとくーきのちからがかみあって、はやくふるえつずけるげんしょー。	auto
c716-2		うるさい震えで済むこともあれば、一瞬で壊れることもある。	うるさ'い/ふるえで/す'むことも/あれ'ば、いっしゅんで/こわれ'ることも/あ'る。	うるさいふるえですむこともあれば、いっしゅんでこわれることもある。	auto
c717-1		速いほど、そして支えのかたさが落ちるほど、起きやすくなる。	はやいほど、そして/ささえ'の/かた'さが/おちるほど、お'きやすくなる。	はやいほど、そしてささえのかたさがおちるほど、おきやすくなる。	auto
c717-2		事故機は、ゆるんだねじのまま、レースの速さで飛んでいた。	じこ'きわ、ゆる'んだ/ね'じのまま、れ'ーすの/はや'さで/とんでいた'。	じこきわ、ゆるんだねじのまま、れーすのはやさでとんでいた。	auto
c717-3	q	つまり、条件がそろっていた？	つ'まり、じょーけ'んが/そろ'っていた？	つまり、じょーけんがそろっていた？	auto
c718-1		そう。左のリンクは、押し縮められて曲がり、折れていた。	そー。ひだりの/り'んくわ、おしちじめら'れて/まがり、お'れていた。	そー。ひだりのりんくわ、おしちじめられてまがり、おれていた。	auto
c718-2		報告書は計算から、ふつうの空気の力では折れなかったとみる。震えなら折れうる。	ほーこくしょわ/けーさんから'、ふつーの/く'ーきの/ちから'でわ/おれ'なかったと/み'る。ふるえな'ら/おれう'る。	ほーこくしょわけーさんから、ふつーのくーきのちからでわおれなかったとみる。ふるえならおれうる。	auto
c719-1		左が折れると、右の板も震え、固定していた右のリンクも折れた。	ひだりが/おれ'ると、みぎの/い'たも/ふるえ、こてーしていた'/みぎの/り'んくも/お'れた。	ひだりがおれると、みぎのいたもふるえ、こてーしていたみぎのりんくもおれた。	auto
c719-2		震えが、左から右へ広がった形だ。	ふるえが、ひだりから'/みぎえ/ひろがった'/かたちだ。	ふるえが、ひだりからみぎえひろがったかたちだ。	auto
c720-1		報告書は、ねじは4日前の検査の指摘で、締め直された可能性が高いとみる。	ほーこくしょわ、ね'じわ/よっかま'えの/け'んさの/してきで、しめなおされた'/かのーせーが/たか'いと/み'る。	ほーこくしょわ、ねじわよっかまえのけんさのしてきで、しめなおされたかのーせーがたかいとみる。	auto
c720-2		そこから飛んだのは、事故の飛行を含めて3回。それでも、ねじはゆるんでいた。	そこから'/とんだ'のわ、じ'この/ひこーを/ふく'めて/さんか'い。それで'も、ね'じわ/ゆる'んでいた。	そこからとんだのわ、じこのひこーをふくめてさんかい。それでも、ねじわゆるんでいた。	auto
c720-3	q	たった、それだけで…。	たった'、それだけで。	たった、それだけで。	auto
c721-1		整備の仲間の1人によると、大会の前に、トリムの板のがたつきを減らす作業があった。	せ'ーびの/なかま'の/ひと'りによると、たいかいの/ま'えに、と'りむの/い'たの/がたつきを/へらす/さ'ぎょーが/あ'った。	せーびのなかまのひとりによると、たいかいのまえに、とりむのいたのがたつきをへらすさぎょーがあった。	auto
c721-2		右の板のねじも、検査の指摘のあと、一度外して付け直していた。	みぎの/い'たの/ね'じも、け'んさの/してきの'あと、いちど/はずして/つけなおしていた'。	みぎのいたのねじも、けんさのしてきのあと、いちどはずしてつけなおしていた。	auto
c722-1		報告書は、ねじのゆるみとナットの傷みは、整備の仲間が気づけたはずとする。	ほーこくしょわ、ね'じの/ゆるみと/な'っとの/いたみ'わ、せ'ーびの/なかま'が/きず'けたはずとする。	ほーこくしょわ、ねじのゆるみとなっとのいたみわ、せーびのなかまがきずけたはずとする。	auto
c722-2		何度も締め直す必要があったとみられ、替える機会はあった、とも書く。	な'んども/しめなお'す/ひつよーが/あ'ったと/みら'れ、かえる/き'かいわ/あ'った、と'も/か'く。	なんどもしめなおすひつよーがあったとみられ、かえるきかいわあった、ともかく。	auto
c723-1	q	報告書は、原因をどうまとめたの？	ほーこくしょわ、げんいんを/ど'ー/まとめた'の？	ほーこくしょわ、げんいんをどーまとめたの？	auto
c723-2		報告書のまとめ「推定原因」は、こうつながる。	ほーこくしょの/まとめすいてーげ'んいんわ、こー/つながる。	ほーこくしょのまとめすいてーげんいんわ、こーつながる。	auto
c724-1		ナットの詰め物が傷み、ねじがゆるみ、1本に疲労のひび。板の支えのかたさが落ちた。	な'っとの/つめ'ものが/いた'み、ね'じが/ゆる'み、い'っぽんに/ひろーの/ひび'。い'たの/ささえ'の/かた'さが/お'ちた。	なっとのつめものがいたみ、ねじがゆるみ、いっぽんにひろーのひび。いたのささえのかたさがおちた。	auto
c724-2		レースの速さで板が震え、左のリンクが折れ、昇降舵が動いて大きなG、操縦を失った。	れ'ーすの/はや'さで/い'たが/ふるえ、ひだりの/り'んくが/お'れ、しょーこ'ーだが/うご'いて/お'ーきな/じ'ー、そーじゅーを/うしなった'。	れーすのはやさでいたがふるえ、ひだりのりんくがおれ、しょーこーだがうごいておーきなじー、そーじゅーをうしなった。	auto
c725-1		そこに重なったのが、記録も試験も無い大きな改造。	そこに/かさなった'のが、きろくも/しけ'んも/な'い/お'ーきな/かいぞー。	そこにかさなったのが、きろくもしけんもないおーきなかいぞー。	auto
c725-2		そして、パイロットが十分な飛行試験をせず、レースという特別な場で飛ばしたこと。	そして、ぱ'いろっとが/じゅーぶ'んな/ひこーしけ'んをせず、れ'ーすと/いう/とくべつな/ばで/とばした'こと。	そして、ぱいろっとがじゅーぶんなひこーしけんをせず、れーすというとくべつなばでとばしたこと。	auto
c726-1		機体が落ちた先には、人がいた。	きたいが/お'ちた/さきに'わ、ひとが/いた'。	きたいがおちたさきにわ、ひとがいた。	auto
c726-2		次の章は、観客席の62分。	つぎ'の/しょ'ーわ、かんきゃく'せきの/ろくじゅーに'ふん。	つぎのしょーわ、かんきゃくせきのろくじゅーにふん。	auto
c801-1		事故の日の昼過ぎ。観客席は、人で埋まっていた。	じこの'ひの/ひるすぎ。かんきゃく'せきわ、ひとで/うまっていた'。	じこのひのひるすぎ。かんきゃくせきわ、ひとでうまっていた。	auto
c801-2		機体はボックス席のある駐機場に落ち、破片は、駐機場とスタンドにも散った。	きたいわ/ぼっくす'せきの/あ'る/ちゅーきじょーに/お'ち、はへんわ、ちゅーきじょーと/すたんどに'も/ちった'。	きたいわぼっくすせきのあるちゅーきじょーにおち、はへんわ、ちゅーきじょーとすたんどにもちった。	auto
c802-1	q	どれくらいの人が？	ど'れくらいの/ひとが？	どれくらいのひとが？	auto
c802-2		地上の10人が亡くなった。けがをした人は、少なくとも64人。	ちじょーの/じゅーに'んが/なくなった'。けがをした'/ひとわ、すくな'くとも/ろくじゅーよに'ん。	ちじょーのじゅーにんがなくなった。けがをしたひとわ、すくなくともろくじゅーよにん。	auto
c802-3		重いけがは、少なくとも16人。報告書は、正確な人数は決められなかったとする。	おもい/けがわ、すくな'くとも/じゅーろくに'ん。ほーこくしょわ、せーかくな/に'んずーわ/きめられ'なかったとする。	おもいけがわ、すくなくともじゅーろくにん。ほーこくしょわ、せーかくなにんずーわきめられなかったとする。	auto
c803-1		4つの病院のうち1つなどから、限られた情報しか得られなかったためだ。	よっつ'の/びょーいんのうち/ひと'つなどから、かぎられた'/じょーほーし'か/えられ'なかったためだ。	よっつのびょーいんのうちひとつなどから、かぎられたじょーほーしかえられなかったためだ。	auto
c803-2		報告書より前の、NTSBの書面では、仮の数で、重いけがはもっと多い。	ほーこくしょよ'り/ま'えの、えぬてぃーえすび'ーの/しょめんで'わ、かりの/か'ずで、おもい/けがわ/も'っと/お'ーい。	ほーこくしょよりまえの、えぬてぃーえすびーのしょめんでわ、かりのかずで、おもいけがわもっとおーい。	auto
c803-3		事故のあとの報道の数も、日を追って変わっていった。	じこの'あとの/ほーどーの/か'ずも、ひを/おって/かわっていった'。	じこのあとのほーどーのかずも、ひをおってかわっていった。	auto
c804-1		午後4時26分。救急の組織が、「多数傷病者事故」を宣言した。	ご'ご/よ'じ/にじゅーろ'っぷん。きゅーきゅーの/そ'しきが、たす'ー/しょーびょ'ーしゃ/じ'こを/せんげ'んした。	ごごよじにじゅーろっぷん。きゅーきゅーのそしきが、たすーしょーびょーしゃじこをせんげんした。	auto
c804-2		けが人が多すぎて、ふだんのやり方では追いつかない事故、という意味だ。	けがにんが/お'ー/す'ぎて、ふ'だんの/やりかたで'わ/おいつか'ない/じ'こ、と/いう/い'みだ。	けがにんがおーすぎて、ふだんのやりかたでわおいつかないじこ、といういみだ。	auto
c805-1	q	救護は、どう進んだの？	きゅ'ーごわ、ど'ー/すすんだ'の？	きゅーごわ、どーすすんだの？	auto
c805-2		救急や消防の車はすぐに着き、残骸の外側にとどまった。	きゅーきゅーや/しょーぼーの/くるまわ/す'ぐに/つ'き、ざんがいの/そとがわに/とどま'った。	きゅーきゅーやしょーぼーのくるまわすぐにつき、ざんがいのそとがわにとどまった。	auto
c805-3		命にかかわるけがの人は全員、宣言から62分以内に、病院へ向かっていた。	い'のちに/かかわ'る/けがの/ひとわ/ぜんい'ん、せんげ'んから/ろくじゅーに'ふん/い'ないに、びょーいんえ/むかっていた'。	いのちにかかわるけがのひとわぜんいん、せんげんからろくじゅーにふんいないに、びょーいんえむかっていた。	auto
